Client,Activity,Invitation Date,Activity Date,Cross Selling,Status
Redpath,Helo,26 Feb 2026,vc,,Complete
Okavango Diamond,Initial invitation,26 Feb 2026,,,OK
BotAsh,Initial invitation,26 Feb 2026,,,Complete
Letshego Africa,Initial invitation,26 Feb 2026,,,Complete
Air Liquide,Initial invitation,26 Feb 2026,,,Take action urgently
Botswana Oxygen,Initial invitation,26 Feb 2026,,,Warning
Final Energy Botswana,Initial invitation,26 Feb 2026,,,OK
Francistown Academic Hospital,Initial invitation,26 Feb 2026,,,Take action urgently
GH Group,Initial invitation,26 Feb 2026,,,Warning
Genesis HB Botswana,Initial invitation,26 Feb 2026,,,Complete
Mitchell Drilling Services,Initial invitation,26 Feb 2026,,,Warning
Minergy,Initial invitation,26 Feb 2026,,,OK
SDDS,Initial invitation,26 Feb 2026,,,OK
BG Motors,Initial invitation,26 Feb 2026,,,Complete
,,,,,
