client,income,estimated_placement,comments,responsible_person
Tataki Mining,65778gbm,01/05/2026,Trying to find new contacts following a change in management from 2025.,Tirelo
Sesiro/Debswana Assets,"P21,690,000",01/07/2026,Minet to provide alternate solutions outside of the Anglo-Coromin arrangement.,Tirelo
Lucara,"P2,531,000",01/11/2026,Engaging CEO and CFO.,Tirelo
Maatla Resources,"P50,000",01/06/2026,Lombard and BECI to present the policy wording to the Director of the Department of Mines for approval.,Tshwarelo/Tirelo
Solex Power,"P1,700,000",01/08/2026,Looking to meet the project owners during the week starting 09/03.,Tirelo
Debswana Healthcare,"P250,000",01/08/2026,Healthcare solutions have been presented to the Debswana Wellness Fund.,Tirelo
Tardieu Botswana,"P130,000",01/05/2026,Client finalizing bank account setup for KYC submission.,Tshwarelo/Tshenolo
Power Plant Engineers,"P5,745.60",01/05/2026,Terms approved and awaiting KYC submission to issue the invoices.,Tshenolo
Tau Freight Logistics,"P100,000",01/05/2025,Quotation shared with the client and still under review. Client is waiting for approval from CEDA.,Tshenolo
Sandfire/Motheo Copper,"P50,000",01/07/2026,"Gross sell from GLA. Awaiting introduction, engagement dates, and plan.",Tirelo
Sesiro/JUP,"P1,000,000",01/08/2026,On track for August 2026.,Tirelo
Mupane Gold Mining,"P750,000",01/08/2026,Before the Court of Appeal.,Tirelo
